,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Covariance,Correlation,RMSE,R2
0,a1,"{'a1': (1.71668, 0.000201, -0.000201)}",{},{},0.05683,-3.714e-09
1,a1*x1 + a2,"{'a1': (1.48793e-08, 1.58e-10, -1.58e-10), 'a2': (1.71223, 0.000196, -0.000196)}","{'a1, a2': -7.481490218645209e-15, 'a1, a1': 2.5032589724076986e-20, 'a2, a2': 3.8595064591076945e-08}","{'a1, a2': -0.2416}",0.05393,0.09955
2,a1 + log(x1)/x0,"{'a1': (1.72136, 0.00017, -0.00017)}",{},{},0.04796,0.2879
3,a2 + log(x1**a1)/x0,"{'a1': (0.713636, 0.00349, -0.00349), 'a2': (1.72002, 0.000164, -0.000164)}","{'a1, a2': 5.705510377887512e-08, 'a1, a1': 1.2184819652271225e-05, 'a2, a2': 2.6789068013628242e-08}","{'a1, a2': 0.09968}",0.04606,0.3432
4,a2 + log(a1 + x1)/x0,"{'a1': (0.00528472, 0.000358, -0.000358), 'a2': (1.71088, 0.000189, -0.000189)}","{'a1, a2': -3.7965842738518286e-08, 'a1, a1': 1.281288327143142e-07, 'a2, a2': 3.55361746972963e-08}","{'a1, a2': -0.5611}",0.04408,0.3985
5,a2 + log(a1 + x1)/x0,"{'a1': (0.00528472, 0.000358, -0.000358), 'a2': (1.71088, 0.000189, -0.000189)}","{'a1, a2': -3.7965842738518286e-08, 'a1, a1': 1.281288327143142e-07, 'a2, a2': 3.55361746972963e-08}","{'a1, a2': -0.5611}",0.04408,0.3985
6,a2*log(a1 + x1)/x0 + a3,"{'a1': (0.0241061, 0.00178, -0.00178), 'a2': (1.17297, 0.0067, -0.0067), 'a3': (1.70694, 0.000247, -0.000247)}","{'a1, a2': 7.868977283838949e-06, 'a1, a3': -3.3503644429350055e-07, 'a2, a3': -1.0414260008087299e-06, 'a1, a1': 3.1752640281394757e-06, 'a2, a2': 4.492931471311925e-05, 'a3, a3': 6.119199879246817e-08}","{'a1, a2': 0.6598, 'a1, a3': -0.762, 'a2, a3': -0.6293}",0.0439,0.4035
7,a2*log(a1*x1 + a1*x2)/x0 + a3,"{'a1': (0.172815, 0.0091, -0.0091), 'a2': (1.30692, 0.00558, -0.00558), 'a3': (1.71145, 0.000322, -0.000322)}","{'a1, a2': -3.7576163129493737e-06, 'a1, a3': -2.5567645991496502e-06, 'a2, a3': -7.85571093641719e-09, 'a1, a1': 8.274619855632496e-05, 'a2, a2': 3.119101795729016e-05, 'a3, a3': 1.0341362065804317e-07}","{'a1, a2': -0.074, 'a1, a3': -0.8726, 'a2, a3': -0.004372}",0.04374,0.4077
8,a3*log(a1 + a2*x1)/x0 + a4,"{'a1': (0.025448, 0.00166, -0.00166), 'a2': (0.132325, 0.00933, -0.00933), 'a3': (1.35025, 0.0099, -0.0099), 'a4': (1.71145, 0.000322, -0.000322)}","{'a1, a2': 2.0876635589365805e-06, 'a1, a3': 7.744264122275551e-06, 'a1, a4': -3.6502672552420874e-07, 'a2, a3': -5.477836499753265e-05, 'a2, a4': -1.8903395087241e-06, 'a3, a4': -1.4795676263327502e-08, 'a1, a1': 2.7428103965975413e-06, 'a2, a2': 8.711298839368535e-05, 'a3, a3': 9.79955562034208e-05, 'a4, a4': 1.0338967139649887e-07}","{'a1, a2': 0.1348, 'a1, a3': 0.4712, 'a1, a4': -0.6829, 'a2, a3': -0.5931, 'a2, a4': -0.6292, 'a3, a4': -0.004641}",0.04374,0.4078
9,a4 + (a1 + a5*log(a3 + x1**a2))/x0,"{'a1': (-9.86054, 0.948, -0.948), 'a2': (0.212742, 0.00966, -0.00966), 'a3': (1.58641, 0.11, -0.11), 'a4': (1.71145, 0.000321, -0.000321), 'a5': (8.72747, 0.65, -0.65)}","{'a1, a2': 0.00852654052947726, 'a1, a3': -0.10231341012118182, 'a1, a4': -1.9351417912408684e-05, 'a1, a5': -0.6041944839521619, 'a2, a3': -0.000907174836362717, 'a2, a4': -5.706561009745053e-09, 'a2, a5': -0.006168565803383925, 'a3, a4': -2.2072123435579937e-12, 'a3, a5': 0.06666068381107586, 'a4, a5': 2.15821990530263e-07, 'a1, a1': 0.8983807834675278, 'a2, a2': 9.32465716704675e-05, 'a3, a3': 0.012177299923768394, 'a4, a4': 1.0273593276071003e-07, 'a5, a5': 0.4226263015495946}","{'a1, a2': 0.9311, 'a1, a3': -0.9811, 'a1, a4': -0.06359, 'a1, a5': -0.9805, 'a2, a3': -0.8537, 'a2, a4': -0.00184, 'a2, a5': -0.9824, 'a3, a4': -6.251e-08, 'a3, a5': 0.9323, 'a4, a5': 0.001034}",0.0436,0.4116
