,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Covariance,Correlation,"Parameterized equation, unscaled",RMSE,R2,RMSE (before ROF)
0,1,0.168,a1,{'a1': 0.168},"{'a1': (0.167806, 7.76e-05, -7.76e-05)}",{},{},a1,0.007763,-4.541e-10,0.007766
1,5,0.169 - 2.36e-10/x1,a1/x1 + a2,"{'a1': -2.36e-10, 'a2': 0.169}","{'a1': (-2.36596e-10, 6.13e-12, -6.13e-12), 'a2': (0.168504, 7.47e-05, -7.47e-05)}","{'a1, a2': -1.1087360789770072e-16, 'a1, a1': 3.7556503347736895e-23, 'a2, a2': 5.5731191282774484e-09}","{'a1, a2': -0.2421}",a1/x1 + a2,0.007242,0.1297,0.007259
2,6,0.000675*log(x1) + 0.168,a1*log(x1) + a2,"{'a1': 0.000675, 'a2': 0.168}","{'a1': (0.000674697, 3.85e-06, -3.85e-06), 'a2': (0.168499, 3.87e-05, -3.87e-05)}","{'a1, a2': 1.5276509070451117e-11, 'a1, a1': 1.4859490175163205e-11, 'a2, a2': 1.4989026048110939e-09}","{'a1, a2': 0.1025}",a1*log(x1) + a2,0.003851,0.7539,0.003883
3,8,0.169 + 0.164*log(x1)/x0,a1*log(x1)/x0 + a2,"{'a1': 0.164, 'a2': 0.169}","{'a1': (0.164111, 0.000304, -0.000304), 'a2': (0.168507, 1.42e-05, -1.42e-05)}","{'a1, a2': 3.9519882719629577e-10, 'a1, a1': 9.248364431362438e-08, 'a2, a2': 2.017685984366863e-10}","{'a1, a2': 0.09155}",a1*log(x1)/x0 + a2,0.001414,0.9668,0.001498
4,10,0.166 + 0.166*log(21.5*x1)/x0,a1 + a1*log(a2*x1)/x0,"{'a1': 0.166, 'a2': 21.5}","{'a1': (0.165947, 1.16e-06, -1.16e-06), 'a2': (43.9338, 0.0667, -0.0667)}","{'a1, a2': -6.812968600553297e-08, 'a1, a1': 1.3534112679449906e-12, 'a2, a2': 0.004453520972818911}","{'a1, a2': -0.8805}",a1 + a1*log(a2*x1)/x0,5.646e-05,0.9999,0.0005106
5,11,0.166 + 0.166*log(38.5*x1)/x0,a1 + a1*log(a2*x1)/x0,"{'a1': 0.166, 'a2': 38.5}","{'a1': (0.165947, 1.16e-06, -1.16e-06), 'a2': (43.9338, 0.0667, -0.0667)}","{'a1, a2': -6.81296862644532e-08, 'a1, a1': 1.3534112680806054e-12, 'a2, a2': 0.0044535210060503636}","{'a1, a2': -0.8805}",a1 + a1*log(a2*x1)/x0,5.646e-05,0.9999,8.296e-05
6,12,0.166 + 0.166*(log(x0*x1) - 1.09)/x0,a2 + (a1 + a2*log(x0*x1))/x0,"{'a1': -0.18094000000000002, 'a2': 0.166}","{'a1': (-0.130729, 0.000252, -0.000252), 'a2': (0.16544, 1.16e-06, -1.16e-06)}","{'a1, a2': -2.5604312956313414e-10, 'a1, a1': 6.355486412587068e-08, 'a2, a2': 1.3369492556756552e-12}","{'a1, a2': -0.8759}",a2 + (a1 + a2*log(x0*x1))/x0,5.629e-05,0.9999,0.0003857
7,13,0.166 + 0.166*(log(x0**0.5*x1) + 1.5)/x0,a1 + (a1*log(x0**a3*x1) + a2)/x0,"{'a1': 0.166, 'a2': 0.249, 'a3': 0.5}","{'a1': (0.165693, 7.63e-19, -7.63e-19), 'a2': (0.247902, 1.04e-15, -1.04e-15), 'a3': (0.5, 1.37e-15, -1.37e-15)}","{'a1, a2': 7.008889976191956e-34, 'a1, a3': -9.491977244442445e-34, 'a2, a3': -1.4201449879399758e-30, 'a1, a1': 5.81908474011253e-37, 'a2, a2': 1.081796652826007e-30, 'a3, a3': 1.8724280033390703e-30}","{'a1, a2': 0.8833, 'a1, a3': -0.9081, 'a2, a3': -0.9967}",a1 + (a1*log(x0**a3*x1) + a2)/x0,1.31e-07,1.0,0.000314
8,15,0.166 + 0.166*(log(x1*(x0 - 2.14)**0.5) + 1.5)/x0,a2 + (a2*log(x1*(a1 + x0)**a4) + a3)/x0,"{'a1': -2.14, 'a2': 0.166, 'a3': 0.249, 'a4': 0.5}","{'a1': (-5.58356e-06, 4.8e-08, -4.8e-08), 'a2': (0.165693, 3.93e-14, -3.93e-14), 'a3': (0.247902, 1.58e-10, -1.58e-10), 'a4': (0.5, 1.66e-10, -1.66e-10)}","{'a1, a2': -1.456814261070581e-21, 'a1, a3': -7.421296760576861e-18, 'a1, a4': 7.653227053437657e-18, 'a2, a3': 5.435380954601409e-24, 'a2, a4': -5.8466149304219086e-24, 'a3, a4': -2.614283410418041e-20, 'a1, a1': 2.3061128939742676e-15, 'a2, a2': 1.5406630364595348e-27, 'a3, a3': 2.503575020759482e-20, 'a4, a4': 2.739470824760566e-20}","{'a1, a2': -0.7723, 'a1, a3': -0.9785, 'a1, a4': 0.9605, 'a2, a3': 0.8753, 'a2, a4': -0.8962, 'a3, a4': -0.9968}",a2 + (a2*log(x1*(a1 + x0)**a4) + a3)/x0,1.31e-07,1.0,0.0003101
9,19,0.166 + 0.166*(log(x1*(x0 - 1.78)**0.5) + 1.5)/x0,a2 + (a2*log(x1*(a1 + x0)**a4) + a3)/x0,"{'a1': -1.78, 'a2': 0.166, 'a3': 0.249, 'a4': 0.5}","{'a1': (-6.11406e-06, 3.89e-08, -3.89e-08), 'a2': (0.165693, 3.67e-14, -3.67e-14), 'a3': (0.247902, 1.31e-10, -1.31e-10), 'a4': (0.5, 1.38e-10, -1.38e-10)}","{'a1, a2': -9.546883700960402e-22, 'a1, a3': -4.870522804159618e-18, 'a1, a4': 5.02388836132021e-18, 'a2, a3': 3.971552768649405e-24, 'a2, a4': -4.385702432910776e-24, 'a3, a4': -1.800133673905476e-20, 'a1, a1': 1.5116751548414563e-15, 'a2, a2': 1.346498571089467e-27, 'a3, a3': 1.7074855883991663e-20, 'a4, a4': 1.9088964619945872e-20}","{'a1, a2': -0.6687, 'a1, a3': -0.9558, 'a1, a4': 0.9359, 'a2, a3': 0.8261, 'a2, a4': -0.866, 'a3, a4': -0.9958}",a2 + (a2*log(x1*(a1 + x0)**a4) + a3)/x0,1.31e-07,1.0,0.0003107
